to_station,to_station_lat,to_station_lng
Afrykańska - Egipska,52.225197,21.071289
Platan Park,52.1544,21.0064
Powstańców Śląskich - Wrocławska,52.257631,20.91931
Metro Nowy Świat - Uniwersytet,52.236884,21.017543
Radzymińska - Trocka,52.272602,21.06321
al. Prymasa Tysiąclecia - Obozowa,52.247585,20.9568
PKP Międzylesie,52.205017,21.168801
Marymoncka - Przy Agorze,52.295106,20.944576
Plac Zbawiciela,52.220223,21.0179
Metro Wilanowska - Dworzec Południowy,52.18082,21.023577
Plac Szembeka,52.242685,21.102494
Bielany-Ratusz,52.276838,20.948216
Kasprzaka - Karolkowa,52.22898,20.97843
Metro Rondo Daszyńskiego,52.229707,20.983223
OSiR Żoliborz,52.277729,20.985734
Chrościckiego – al. 4 Czerwca 1989 r.,52.209302,20.893987
Plac Małachowskiego,52.239662,21.011951
Metro Wierzbno,52.188957,21.017447
Muzeum Powstania Warszawskiego,52.232987,20.980406
Wolność - Bellottiego,52.24108,20.98316
Wolska - Hubalczyków ,52.223197,20.929879
Eurocentrum,52.220709,20.972267
Port Czerniakowski,52.227685,21.044317
PKP Ursus,52.196047,20.884935
Matejki - Wiejska,52.22492,21.026885
Białołęka - Ratusz,52.321127,20.971296
Korkowa,52.23828,21.147235
Wola-Ratusz,52.240162,20.987728
Sobieskiego - Nałęczowska,52.175294,21.063173
Szczęśliwicka - APS,52.217218,20.971361
Kopińska - Białobrzeska,52.217863,20.977596
Stryjeńskich - Wąwozowa,52.131433,21.056156
Senatorska - Bielańska,52.243571,21.006692
al. Prymasa Tysiąclecia - Górczewska,52.237662,20.955493
Lindleya - szpital,52.224054,20.997567
Plac Konstytucji,52.222943,21.015821
Gościniec,52.222881,21.223207
al. Jerozolimskie - Popularna,52.20115,20.935342
Myśliborska - al. Kuklińskiego,52.313298,20.965532
Ratuszowa - ZOO,52.253851,21.02328
Ursus Ratusz,52.200496,20.893806
al. Niepodległości - Nowowiejska,52.220676,21.004555
Leszno - Młynarska,52.236881,20.972332
Dereniowa - Płaskowickiej,52.142735,21.044813
Dzielna - Bellottiego,52.242888,20.980379
Dw. Wschodni – Lubelska,52.25061,21.05336
Kondratowicza - Przy Grodzisku,52.292425,21.056741
Puławska – Pelikanów,52.12293,21.01854
Giserska - Habicha,52.202161,20.883169
Powstańców Śląskich - Człuchowska,52.22868,20.91509
Vogla - Syta,52.16479,21.10925
Pętla Stare Bemowo,52.258245,20.898614
al. Jana Pawła II - Stawki,52.251471,20.985705
al. Jana Pawła II - Grzybowska,52.240689,20.995149
Ptasia - Zimna,52.239571,21.000301
Puławska - Kajakowa,52.129592,21.018367
Puławska - Idzikowskiego,52.18648,21.02538
PKP Wesoła,52.253523,21.224155
PKP Rembertów - Marsa,52.256711,21.15805
Bulwar - most Śląsko - Dąbrowski,52.247972,21.019663
Obozowa - Ciołka,52.246595,20.942922
Mariensztat,52.246561,21.017476
PKP Rembertów - Cyrulików,52.257579,21.157396
Kleszczowa – Krańcowa,52.196958,20.923586
Park Kępa Potocka,52.28794,20.978694
Rondo Śmigielskiego,52.247163,21.189258
Krakowskie Przedmieście - Trębacka,52.243578,21.01409
Skoroszewska - Prystora,52.190638,20.899944
PKP Ursus - Niedźwiadek,52.191624,20.869008
Warszawska - Hermana,52.194985,20.862216
Pętla Bródno - Podgrodzie,52.300027,21.042527
Uniwersytet - SWPS ,52.247531,21.066431
Signum Work Station,52.183037,20.991542
al. Komandosów,52.253001,21.168017
Kościelna - Piesza,52.254116,21.009353
Metro Zacisze,52.283476,21.062266
Biblioteka Narodowa,52.212671,21.003437
Krakowskie Przedmieście - Traugutta,52.239374,21.016657
Poznańska - Zespół Szkół Gastronomicznych,52.223582,21.012871
PKP Gołąbki ,52.208074,20.86491
Smolna - PKP Powiśle,52.23324,21.026118
OSiR Wawer,52.219474,21.162114
Procter & Gamble,52.260904,21.072881
Miasteczko Orange,52.208525,20.946525
Czerwonych Beretów - Frontowa,52.262273,21.177609
Paderewskiego - Czwartaków,52.271148,21.149855
PKP Wawer,52.223045,21.149132
Centrum Zdrowia Dziecka,52.207438,21.191126
Redutowa - Pustola,52.233682,20.940959
Rondo ONZ,52.23311,20.998282
Sosnkowskiego - OSiR Ursus,52.186994,20.890648
recording_274213031,52.250569,20.982882
Bysławska,52.159742,21.205322
BIKE612728,52.233893,21.007598
Jagiellońska - Okrzei,52.251329,21.035429
9450,52.231958,21.006725
recording_274789846,52.332742,20.942282
Jana Kazimierza - Gizów,52.224946,20.945553
Wysockiego - Matki Teresy z Kalkuty,52.281249,21.025758
Warsaw UNIT,52.2284,20.985736
recording_275995137,52.17876,21.002758
 Metro Rondo Daszyńskiego,52.22872,20.987444
Plac Powstańców Warszawy,52.228027,20.916804
recording_276099256,52.141893,21.025933
recording_276146093,52.229307,21.01122
AMB - Diagonal II,41.386799,2.116236
AMB - METRO La Pau,41.423345,2.205672
AMB - Riera Blanca Nord,41.371631,2.127232
AMB - Diagonal I,41.386602,2.116364
AMB - Campus Diagonal - Besòs,41.413419,2.22175
AMB - METRO Baró de Viver,41.448479,2.199556
